number word embedding pe weight bias1 bias2 bias3 bias4
294 line 0.733173 0.636957 0.541413 0.000000 0.000000 0.000000 0.000000
295 loads 1.021256 0.639130 0.894525 0.000000 0.000000 0.000000 0.000000
296 locations 1.071465 0.641304 0.955052 0.000000 0.000000 0.000000 0.000000
297 log 0.794375 0.643478 0.613001 0.000000 0.000000 0.000000 0.000000
298 magic 0.713742 0.645652 0.512593 0.000000 0.000000 0.000000 0.000000
299 map 0.797011 0.647826 0.613784 0.000000 0.000000 0.000000 0.000000
300 mappings 0.615164 0.650000 0.388882 0.000000 0.000000 0.000000 0.000000
301 match 0.730706 0.652174 0.529768 0.000000 0.000000 0.000000 0.000000
302 maze-like 0.699660 0.654348 0.490352 0.000000 0.000000 0.000000 0.000000
303 messages 1.158797 0.656522 1.053860 0.000000 0.000000 0.000000 0.000000
304 more 0.785776 0.658696 0.593814 0.000000 0.000000 0.000000 0.000000
305 move 0.786908 0.660870 0.593977 0.000000 0.000000 0.000000 0.000000
306 movie 1.241197 0.663043 1.151522 0.000000 0.000000 0.000000 0.000000
307 multiple 1.185985 0.665217 1.082381 0.000000 0.000000 0.000000 0.000000
308 mysterious 0.921793 0.667391 0.756195 0.000000 0.000000 0.000000 0.000000
309 necromancer’s 0.462080 0.669565 0.189518 0.000000 0.000000 0.000000 0.000000
310 necromantic 0.800224 0.671739 0.604205 0.000000 0.000000 0.000000 0.000000
311 of 1.173674 0.673913 1.062319 0.000000 0.000000 0.000000 0.000000
312 on 1.174682 0.676087 1.062329 0.000000 0.000000 0.000000 0.000000
313 one 0.813607 0.678261 0.616977 0.000000 0.000000 0.000000 0.000000
314 onto 0.866637 0.680435 0.680974 0.000000 0.000000 0.000000 0.000000
315 open 0.869319 0.682609 0.683042 0.000000 0.000000 0.000000 0.000000
316 orb 0.816736 0.684783 0.617135 0.000000 0.000000 0.000000 0.000000
317 orbs 0.873403 0.686957 0.685606 0.000000 0.000000 0.000000 0.000000
318 painting 1.032583 0.689130 0.880167 0.000000 0.000000 0.000000 0.000000
319 path 0.893410 0.691304 0.707754 0.000000 0.000000 0.000000 0.000000
320 paths 1.307645 0.693478 1.216033 0.000000 0.000000 0.000000 0.000000
321 permissions 0.565025 0.695652 0.301381 0.000000 0.000000 0.000000 0.000000
322 pieces 0.888806 0.697826 0.698401 0.000000 0.000000 0.000000 0.000000
323 pipeline 0.768299 0.700000 0.548948 0.000000 0.000000 0.000000 0.000000
324 pixel 0.603391 0.702174 0.344881 0.000000 0.000000 0.000000 0.000000
325 pixels 0.577018 0.704348 0.311212 0.000000 0.000000 0.000000 0.000000
326 platform 0.724178 0.706522 0.490989 0.000000 0.000000 0.000000 0.000000
327 player 0.331778 0.708696 0.007107 0.000000 0.000000 0.000000 0.000000
328 player’s 0.357752 0.710870 0.037825 0.000000 0.000000 0.000000 0.000000
329 plot 0.915236 0.713043 0.722300 0.000000 0.000000 0.000000 0.000000
330 position 1.020514 0.715217 0.850562 0.000000 0.000000 0.000000 0.000000
331 positions 1.150077 0.717391 1.008695 0.000000 0.000000 0.000000 0.000000
332 primitive 0.685782 0.719565 0.436382 0.000000 0.000000 0.000000 0.000000
333 primitives 1.039921 0.721739 0.870743 0.000000 0.000000 0.000000 0.000000
334 projection 0.974122 0.723913 0.788580 0.000000 0.000000 0.000000 0.000000
335 races 0.675875 0.726087 0.420506 0.000000 0.000000 0.000000 0.000000
336 read_primative 0.835401 0.728261 0.615493 0.000000 0.000000 0.000000 0.000000
337 read_primitive 1.323769 0.730435 1.214956 0.000000 0.000000 0.000000 0.000000
